Year,Consumer price index (2010 = 100),"Foreign direct investment, net inflows (% of GDP)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Net migration,"Official exchange rate (LCU per US$, period average)","Personal remittances, received (% of GDP)",Population growth (annual %),"Population, total","Unemployment, total (% of total labor force) (national estimate)"
2014,142.052800661666,1.50925042253521,305595408895.265,2.91591187985748,3196.86138078687,0.531824069545834,11.2476245037869,10.0702154687481,5961.0,7.07760856060606,6.40402291079812,2.34379305041137,95592324.0,13.105
2015,156.784372636979,2.10258128401326,329366576819.407,4.37201907790141,3370.38244716015,2.09553830616976,9.93088973035982,10.370490343517,-79150.0,7.69125833333333,5.56383108965179,2.20525980686911,97723799.0,13.052
2016,178.441948479442,2.43856278142762,332441717791.411,4.34664345555447,3331.61246134688,2.19220862672384,6.24566313377426,13.813606214829,4132.0,10.0254007885465,5.59207795083782,2.08630284573945,99784030.0,12.45
2017,231.094115427901,2.98301550917695,248362771739.13,4.18122099994778,2439.96728439968,2.12874338092006,29.5184798346035,29.5066083940039,-23281.0,17.7825335150636,9.96018840777921,1.98976849465685,101789386.0,11.767
2018,264.375055382559,3.10040077579187,262588632526.73,5.3311086189448,2531.20007864537,3.34981502229812,21.1748208164536,14.4014657807422,-61050.0,17.7672904218107,9.71698574857486,1.89893076814734,103740765.0,9.855
2019,288.572774376263,2.82732944960686,318678815489.749,5.55209307156956,3017.25833578941,3.67537083093788,13.6180959109963,9.15279959324804,-59715.0,16.7705818428763,8.40388463187991,1.79400212546566,105618671.0,7.851
2020,303.131077181708,1.52462948997172,383817841547.099,3.55016483786838,3571.5569065135,1.77096873118485,6.17693409847963,5.04493288977539,4476.0,15.7591729166667,7.71274724506713,1.73312957205986,107465134.0,7.974
2021,318.936481308266,1.20617861055665,424671765455.704,3.29064601202211,3886.7224983901,1.59181628823583,4.84715643244118,5.21404940513043,-32370.0,15.6445272777113,7.4144321712116,1.65838367949689,109262178.0,7.441
2022,363.254813484488,2.39118080969079,476747720364.742,6.58784560886967,4295.40749561014,4.92845618453779,10.4257892435745,13.8956609775178,-29998.0,19.1604397412204,5.94293350334715,1.56907383039584,110990103.0,
2023,,,,,,,,,-29998.0,,,,,
